,Y,X
1257,215,175
1258,214,375
1259,214,374
1260,214,373
1261,214,289
1262,214,288
1263,214,287
1264,214,286
1265,214,178
1266,214,177
1267,214,176
1268,214,175
1269,213,375
1270,213,374
1271,213,373
1272,213,372
1273,213,289
1274,213,288
1275,213,287
1276,213,286
1277,213,178
1278,213,177
1279,213,176
1280,213,175
1281,212,375
1282,212,374
1283,212,373
1284,212,372
1285,212,290
1286,212,289
1287,212,288
1288,212,287
1289,212,178
1290,212,177
1291,212,176
1292,212,175
1293,211,375
1294,211,374
1295,211,373
1296,211,372
1297,211,290
1298,211,289
1299,211,288
1300,211,287
1301,211,178
1302,211,177
1303,211,176
1304,211,175
1305,210,375
1306,210,374
1307,210,373
1308,210,372
1309,210,291
1310,210,290
1311,210,289
1312,210,288
1313,210,287
1314,210,178
1315,210,177
1316,210,176
1317,210,175
1318,209,375
1319,209,374
1320,209,373
1321,209,372
1322,209,292
1323,209,291
1324,209,290
1325,209,289
1326,209,288
1327,209,178
1328,209,177
1329,209,176
1330,209,175
1331,208,375
1332,208,374
1333,208,373
1334,208,372
1335,208,293
1336,208,292
1337,208,291
1338,208,290
1339,208,289
1340,208,288
1341,208,178
1342,208,177
1343,208,176
1344,208,175
1345,207,375
1346,207,374
1347,207,373
1348,207,372
1349,207,294
1350,207,293
1351,207,292
1352,207,291
1353,207,290
1354,207,289
1355,207,178
1356,207,177
1357,207,176
1358,207,175
1359,206,374
1360,206,373
1361,206,372
1362,206,294
1363,206,293
1364,206,292
1365,206,291
1366,206,290
1367,206,178
1368,206,177
1369,206,176
1370,206,175
1371,205,374
1372,205,373
1373,205,372
1374,205,371
1375,205,295
1376,205,294
1377,205,293
1378,205,292
1379,205,291
1380,205,178
1381,205,177
1382,205,176
1383,205,175
1384,204,374
1385,204,373
1386,204,372
1387,204,371
1388,204,296
1389,204,295
1390,204,294
1391,204,293
1392,204,292
1393,204,178
1394,204,177
1395,204,176
1396,204,175
1397,203,374
1398,203,373
1399,203,372
1400,203,371
1401,203,297
1402,203,296
1403,203,295
1404,203,294
1405,203,293
1406,203,178
1407,203,177
1408,203,176
1409,203,175
1410,202,374
1411,202,373
1412,202,372
1413,202,371
1414,202,298
1415,202,297
1416,202,296
1417,202,295
1418,202,294
1419,202,178
1420,202,177
1421,202,176
1422,202,175
1423,201,374
1424,201,373
1425,201,372
1426,201,371
1427,201,299
1428,201,298
1429,201,297
1430,201,296
1431,201,295
1432,201,294
1433,201,178
1434,201,177
1435,201,176
1436,201,175
1437,200,374
1438,200,373
1439,200,372
1440,200,371
1441,200,300
1442,200,299
1443,200,298
1444,200,297
1445,200,296
1446,200,295
1447,200,178
1448,200,177
1449,200,176
1450,200,175
1451,199,374
1452,199,373
1453,199,372
1454,199,371
1455,199,301
1456,199,300
1457,199,299
1458,199,298
1459,199,297
1460,199,296
1461,199,178
1462,199,177
1463,199,176
1464,199,175
1465,198,373
1466,198,372
1467,198,371
1468,198,306
1469,198,305
1470,198,304
1471,198,303
1472,198,302
1473,198,301
1474,198,300
1475,198,299
1476,198,298
1477,198,297
1478,198,177
1479,198,176
1480,198,175
1481,197,373
1482,197,372
1483,197,371
1484,197,370
1485,197,309
1486,197,308
1487,197,307
1488,197,306
1489,197,305
1490,197,304
1491,197,303
1492,197,302
1493,197,301
1494,197,300
1495,197,299
1496,197,298
1497,197,177
1498,197,176
1499,197,175
1500,196,373
1501,196,372
1502,196,371
1503,196,370
1504,196,311
1505,196,310
1506,196,309
1507,196,308
1508,196,307
1509,196,306
1510,196,305
1511,196,304
1512,196,303
1513,196,302
1514,196,301
1515,196,300
1516,196,299
1517,196,177
1518,196,176
1519,196,175
1520,195,373
1521,195,372
1522,195,371
1523,195,370
1524,195,313
1525,195,312
1526,195,311
1527,195,310
1528,195,309
1529,195,308
1530,195,307
1531,195,306
1532,195,305
1533,195,304
1534,195,303
1535,195,302
1536,195,177
1537,195,176
1538,195,175
1539,194,373
1540,194,372
1541,194,371
1542,194,370
1543,194,315
1544,194,314
1545,194,313
1546,194,312
1547,194,311
1548,194,310
1549,194,309
1550,194,308
1551,194,307
1552,194,177
1553,194,176
1554,194,175
1555,193,373
1556,193,372
1557,193,371
1558,193,370
1559,193,317
1560,193,316
1561,193,315
1562,193,314
1563,193,313
1564,193,312
1565,193,311
1566,193,310
1567,193,309
1568,193,177
1569,193,176
1570,193,175
1571,192,373
1572,192,372
1573,192,371
1574,192,370
1575,192,320
1576,192,319
1577,192,318
1578,192,317
1579,192,316
1580,192,315
1581,192,314
1582,192,313
1583,192,312
1584,192,311
1585,192,177
1586,192,176
1587,192,175
1588,192,174
1589,191,373
1590,191,372
1591,191,371
1592,191,370
1593,191,325
1594,191,324
1595,191,323
1596,191,322
1597,191,321
1598,191,320
1599,191,319
1600,191,318
1601,191,317
1602,191,316
1603,191,315
1604,191,314
1605,191,313
1606,191,177
1607,191,176
1608,191,175
1609,191,174
1610,190,372
1611,190,371
1612,190,370
1613,190,330
1614,190,329
1615,190,328
1616,190,327
1617,190,326
1618,190,325
1619,190,324
1620,190,323
1621,190,322
1622,190,321
1623,190,320
1624,190,319
1625,190,318
1626,190,317
1627,190,316
1628,190,315
1629,190,177
1630,190,176
1631,190,175
1632,190,174
1633,189,372
1634,189,371
1635,189,370
1636,189,369
1637,189,358
1638,189,357
1639,189,356
1640,189,355
1641,189,354
1642,189,353
1643,189,352
1644,189,351
1645,189,350
1646,189,349
1647,189,348
1648,189,347
1649,189,346
1650,189,345
1651,189,344
1652,189,343
1653,189,342
1654,189,341
1655,189,340
1656,189,339
1657,189,338
1658,189,337
1659,189,336
1660,189,335
1661,189,334
1662,189,333
1663,189,332
1664,189,331
1665,189,330
1666,189,329
1667,189,328
1668,189,327
1669,189,326
1670,189,325
1671,189,324
1672,189,323
1673,189,322
1674,189,321
1675,189,320
1676,189,319
1677,189,318
1678,189,317
1679,189,177
1680,189,176
1681,189,175
1682,189,174
1683,188,372
1684,188,371
1685,188,370
1686,188,369
1687,188,368
1688,188,367
1689,188,366
1690,188,365
1691,188,364
1692,188,363
1693,188,362
1694,188,361
1695,188,359
1696,188,358
1697,188,357
1698,188,356
1699,188,355
1700,188,354
1701,188,353
1702,188,352
1703,188,351
1704,188,350
1705,188,349
1706,188,348
1707,188,347
1708,188,346
1709,188,345
1710,188,344
1711,188,343
1712,188,342
1713,188,341
1714,188,340
1715,188,339
1716,188,338
1717,188,337
1718,188,336
1719,188,335
1720,188,334
1721,188,333
1722,188,332
1723,188,331
1724,188,330
1725,188,329
1726,188,328
1727,188,327
1728,188,326
1729,188,325
1730,188,324
1731,188,323
1732,188,322
1733,188,321
1734,188,177
1735,188,176
1736,188,175
1737,188,174
1738,187,372
1739,187,371
1740,187,370
1741,187,369
1742,187,368
1743,187,367
1744,187,366
1745,187,365
1746,187,364
1747,187,363
1748,187,362
1749,187,361
1750,187,359
1751,187,358
1752,187,357
1753,187,356
1754,187,355
1755,187,354
1756,187,353
1757,187,352
1758,187,351
1759,187,350
1760,187,349
1761,187,348
1762,187,347
1763,187,346
1764,187,345
1765,187,344
1766,187,343
1767,187,342
1768,187,341
1769,187,340
1770,187,339
1771,187,338
1772,187,337
1773,187,336
1774,187,335
1775,187,334
1776,187,333
1777,187,332
1778,187,331
1779,187,330
1780,187,329
1781,187,328
1782,187,327
1783,187,326
1784,187,177
1785,187,176
1786,187,175
1787,187,174
1788,186,372
1789,186,371
1790,186,370
1791,186,369
1792,186,368
1793,186,367
1794,186,366
1795,186,365
1796,186,364
1797,186,363
1798,186,362
1799,186,361
1800,186,359
1801,186,358
1802,186,357
1803,186,356
1804,186,355
1805,186,354
1806,186,353
1807,186,352
1808,186,351
1809,186,350
1810,186,349
1811,186,348
1812,186,347
1813,186,346
1814,186,345
1815,186,344
1816,186,343
1817,186,342
1818,186,341
1819,186,340
1820,186,339
1821,186,338
1822,186,337
1823,186,336
1824,186,335
1825,186,334
1826,186,333
1827,186,332
1828,186,331
1829,186,177
1830,186,176
1831,186,175
1832,186,174
1833,185,372
1834,185,371
1835,185,370
1836,185,369
1837,185,368
1838,185,367
1839,185,366
1840,185,365
1841,185,364
1842,185,363
1843,185,362
1844,185,361
1845,185,177
1846,185,176
1847,185,175
1848,185,174
1849,184,177
1850,184,176
1851,184,175
1852,184,174
1853,183,177
1854,183,176
